mcc_code	mcc_label	factual_category_id
3239	Bar Harbor Airlines	416
3240	Bahamasair	416
3241	Aviateca (guatemala)	416
3242	Avensa	416
3243	Austrian Air Service	416
3244	Airlines	416
3245	Airlines	416
3246	Airlines	416
3247	Airlines	416
3248	Airlines	416
3249	Airlines	416
3250	Airlines	416
3251	Aloha Airlines	416
3252	Alm	416
3253	America West	416
3254	Trump Airline	416
3255	Airlines	416
3256	Alaska Airlines	416
3257	Airlines	416
3258	Airlines	416
3259	American Trans Air	416
3260	Airlines	416
3261	Air China	416
3262	Reno Air, Inc.	416
3263	Airlines	416
3264	Airlines	416
3265	Airlines	416
3266	Air Seychelles	416
3267	Air Panama	416
3268	Airlines	416
3269	Airlines	416
3270	Airlines	416
3271	Airlines	416
3272	Airlines	416
3273	Airlines	416
3274	Airlines	416
3275	Airlines	416
3276	Airlines	416
3277	Airlines	416
3278	Airlines	416
3279	Airlines	416
3280	Air Jamaica	416
3281	Airlines	416
3282	Air Djibouti	416
3283	Airlines	416
3284	Aero Virgin Islands	416
3285	Aero Peru	416
3286	Aerolineas Nicaraguensis	416
3287	Aero Coach Avaiation	416
3288	Airlines	416
3289	Airlines	416
3290	Airlines	416
3291	Ariana Afghan	416
3292	Cyprus Airways	416
3293	Ecuatoriana	416
3294	Ethiopian Airlines	416
3295	Kenya Airlines	416
3296	Airlines	416
3297	Airlines	416
3298	Air Mauritius	416
3299	Widero’s Flyveselskap	416
3351	Affiliated Auto Rental	421
3352	American Intl Rent-a-car	421
3353	Brooks Rent-a-car	421
3354	Action Auto Rental	421
3355	Car Rental	421
3356	Car Rental	421
3357	Hertz Rent-a-car	421
3358	Car Rental	421
3359	Payless Car Rental	421
3360	Snappy Car Rental	421
3361	Airways Rent-a-car	421
3362	Altra Auto Rental	421
3363	Car Rental	421
3364	Agency Rent-a-car	421
3365	Car Rental	421
3366	Budget Rent-a-car	421
3367	Car Rental	421
3368	Holiday Rent-a-wreck	421
3369	Car Rental	421
3370	Rent-a-wreck	421
3371	Car Rental	421
3372	Car Rental	421
3373	Car Rental	421
3374	Car Rental	421
3375	Car Rental	421
3376	Ajax Rent-a-car	421
3377	Car Rental	421
3378	Car Rental	421
3379	Car Rental	421
3380	Car Rental	421
3381	Europ Car	421
3382	Car Rental	421
3383	Car Rental	421
3384	Car Rental	421
3385	Tropical Rent-a-car	421
3386	Showcase Rental Cars	421
3387	Alamo Rent-a-car	421
3388	Car Rental	421
3389	Avis Rent-a-car	421
3390	Dollar Rent-a-car	421
3391	Europe By Car	421
3392	Car Rental	421
3393	National Car Rental	421
3394	Kemwell Group Rent-a-car	421
3395	Thrifty Rent-a-car	421
3396	Tilden Tent-a-car	421
3397	Car Rental	421
3398	Econo-car Rent-a-car	421
3399	Car Rental	421
3400	Auto Host Cost Car Rentals	421
3401	Car Rental	421
3402	Car Rental	421
3403	Car Rental	421
3404	Car Rental	421
3405	Enterprise Rent-a-car	421
3406	Car Rental	421
3407	Car Rental	421
3408	Car Rental	421
3409	General Rent-a-car	421
3410	Car Rental	421
3411	Car Rental	421
3412	A-1 Rent-a-car	421
3413	Car Rental	421
3414	Godfrey Natl Rent-a-car	421
3415	Car Rental	421
3416	Car Rental	421
3417	Car Rental	421
3418	Car Rental	421
3419	Alpha Rent-a-car	421
3420	Ansa Intl Rent-a-car	421
3421	Allstae Rent-a-car	421
3422	Car Rental	421
3423	Avcar Rent-a-car	421
3424	Car Rental	421
3425	Automate Rent-a-car	421
3426	Car Rental	421
3427	Avon Rent-a-car	421
3428	Carey Rent-a-car	421
3429	Insurance Rent-a-car	421
3430	Major Rent-a-car	421
3431	Replacement Rent-a-car	421
3432	Reserve Rent-a-car	421
3433	Ugly Duckling Rent-a-car	421
3434	Usa Rent-a-car	421
3435	Value Rent-a-car	421
3436	Autohansa Rent-a-car	421
3437	Cite Rent-a-car	421
3438	Interent Rent-a-car	421
3439	Milleville Rent-a-car	421
3440	Via Route Rent-a-car	421
3441	Car Rental	421
3501	Holiday Inns, Holiday Inn Express	432
3502	Best Western Hotels	432
3503	Sheraton Hotels	432
3504	Hilton Hotels	432
3505	Forte Hotels	432
3506	Golden Tulip Hotels	432
3507	Friendship Inns	432
3508	Quality Inns, Quality Suites	432
3509	Marriott Hotels	432
3510	Days Inn, Daystop	432
3511	Arabella Hotels	432
3512	Inter-continental Hotels	432
3513	Westin Hotels	432
3514	Hotels/motels/inns/resorts	432
3515	Rodeway Inns	432
3516	La Quinta Motor Inns	432
3517	Americana Hotels	432
3518	Sol Hotels	432
3519	Pullman International Hotels	432
3520	Meridien Hotels	432
3521	Crest Hotels (see Forte Hotels)	432
3522	Tokyo Hotel	432
3523	Pennsula Hotel	432
3524	Welcomgroup Hotels	432
3525	Dunfey Hotels	432
3526	Hotels/motels/inns/resorts	432
3527	Downtowner-passport Hotel	432
3528	Red Lion Hotels, Red Lion Inns	432
3529	Cp Hotels	432
3530	Renaissance Hotels, Stouffer Hotels	432
3531	Astir Hotels	432
3532	Sun Route Hotels	432
3533	Hotel Ibis	432
3534	Southern Pacific Hotels	432
3535	Hilton International	432
3536	Amfac Hotels	432
3537	Ana Hotel	432
3538	Concorde Hotels	432
3539	Hotels/motels/inns/resorts	432
3540	Iberotel Hotels	432
3541	Hotel Okura	432
3542	Royal Hotels	432
3543	Four Seasons Hotels	432
3544	Ciga Hotels	432
3545	Shangri-la International	432
3546	Hotels/motels/inns/resorts	432
3547	Hotels/motels/inns/resorts	432
3548	Hoteles Melia	432
3549	Auberge Des Governeurs	432
3550	Regal 8 Inns	432
3551	Hotels/motels/inns/resorts	432
3552	Coast Hotels	432
3553	Park Inns International	432
3554	Hotels/motels/inns/resorts	432
3555	Hotels/motels/inns/resorts	432
3556	Hotels/motels/inns/resorts	432
3557	Hotels/motels/inns/resorts	432
3558	Jolly Hotels	432
3559	Hotels/motels/inns/resorts	432
3560	Hotels/motels/inns/resorts	432
3561	Hotels/motels/inns/resorts	432
3562	Comfort Inns	432
3563	Journey’s End Motls	432
3564	Hotels/motels/inns/resorts	432
3565	Relax Inns	432
3566	Hotels/motels/inns/resorts	432
3567	Hotels/motels/inns/resorts	432
3568	Ladbroke Hotels	432
3569	Hotels/motels/inns/resorts	432
3570	Forum Hotels	432
3571	Hotels/motels/inns/resorts	432
3572	Miyako Hotels	432
3573	Sandman Hotels	432
3574	Venture Inns	432
3575	Vagabond Hotels	432
3576	Hotels/motels/inns/resorts	432
3577	Mandarin Oriental Hotel	432
3578	Hotels/motels/inns/resorts	432
3579	Hotel Mercure	432
3580	Hotels/motels/inns/resorts	432
3581	Delta Hotel	432
3582	Hotels/motels/inns/resorts	432
3583	Sas Hotels	432
3584	Princess Hotels International	432
3585	Hungar Hotels	432
3586	Sokos Hotels	432
3587	Doral Hotels	432
3588	Helmsley Hotels	432
3589	Hotels/motels/inns/resorts	432
3590	Fairmont Hotels	432
3591	Sonesta Hotels	432
3592	Omni Hotels	432
3593	Cunard Hotels	432
3594	Hotels/motels/inns/resorts	432
3595	Hospitality International	432
3596	Hotels/motels/inns/resorts	432
3597	Hotels/motels/inns/resorts	432
3598	Regent International Hotels	432
3599	Pannonia Hotels	432
3600	Hotels/motels/inns/resorts	432
3601	Hotels/motels/inns/resorts	432
3602	Hotels/motels/inns/resorts	432
3603	Noah’s Hotels	432
3604	Hotels/motels/inns/resorts	432
3605	Hotels/motels/inns/resorts	432
3606	Hotels/motels/inns/resorts	432
3607	Hotels/motels/inns/resorts	432
3608	Hotels/motels/inns/resorts	432
3609	Hotels/motels/inns/resorts	432
3610	Hotels/motels/inns/resorts	432
3611	Hotels/motels/inns/resorts	432
3612	Movenpick Hotels	432
3613	Hotels/motels/inns/resorts	432
3614	Hotels/motels/inns/resorts	432
3615	Travelodge	432
3616	Hotels/motels/inns/resorts	432
3617	Hotels/motels/inns/resorts	432
3618	Hotels/motels/inns/resorts	432
3619	Hotels/motels/inns/resorts	432
3620	Telford International	432
3621	Hotels/motels/inns/resorts	432
3622	Merlin Hotels	432
3623	Dorint Hotels	432
3624	Hotels/motels/inns/resorts	432
3625	Hotle Universale	432
3626	Prince Hotels	432
3627	Hotels/motels/inns/resorts	432
3628	Hotels/motels/inns/resorts	432
3629	Dan Hotels	432
3630	Hotels/motels/inns/resorts	432
3631	Hotels/motels/inns/resorts	432
3632	Hotels/motels/inns/resorts	432
3633	Rank Hotels	432
3634	Swissotel	432
3635	Reso Hotels	432
