integrated_category_id	integrated_category_label	naics_code	sic_code
11059	Business and Professional Services > Funeral Home	812210	7261
11060	Business and Professional Services > Geological Service	541360	1081
11061	Business and Professional Services > Health and Beauty Service	812112	7231
11062	Business and Professional Services > Health and Beauty Service > Barbershop	812199	7299
11063	Business and Professional Services > Health and Beauty Service > Bath House	812199	7299
11064	Business and Professional Services > Health and Beauty Service > Hair Salon	812199	7299
11065	Business and Professional Services > Health and Beauty Service > Body Piercing Shop	812199	7299
11066	Business and Professional Services > Health and Beauty Service > Dry Cleaner	812320	7211
11067	Business and Professional Services > Health and Beauty Service > Hair Removal Service	812112	7231
11068	Business and Professional Services > Health and Beauty Service > Laundromat	812310	7215
11069	Business and Professional Services > Health and Beauty Service > Laundry Service	812320	7211
11070	Business and Professional Services > Health and Beauty Service > Massage Clinic	812199	7299
11071	Business and Professional Services > Health and Beauty Service > Nail Salon	812113	7231
11072	Business and Professional Services > Health and Beauty Service > Skin Care Clinic	812112	7231
11073	Business and Professional Services > Health and Beauty Service > Spa	812199	7299
11074	Business and Professional Services > Health and Beauty Service > Tanning Salon	812199	7299
11075	Business and Professional Services > Health and Beauty Service > Tattoo Parlor	812199	7299
11076	Business and Professional Services > Home Improvement Service	561730	782
11077	Business and Professional Services > Home Improvement Service > Bathroom Contractor	561730	782
11078	Business and Professional Services > Home Improvement Service > Carpenter	561730	782
11079	Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor	561730	782
11080	Business and Professional Services > Home Improvement Service > Chimney Sweep	561730	782
11081	Business and Professional Services > Home Improvement Service > Deck and Patio Contractor	561730	782
11082	Business and Professional Services > Home Improvement Service > Doors and Windows Contractor	561730	782
11083	Business and Professional Services > Home Improvement Service > Electrician	561730	782
11084	Business and Professional Services > Home Improvement Service > Fence Contractor	561730	782
11085	Business and Professional Services > Home Improvement Service > Garage Door Supplier	561730	782
11086	Business and Professional Services > Home Improvement Service > General Contractor	561730	782
11087	Business and Professional Services > Home Improvement Service > Heating, Ventilating and Air Conditioning Contractor	561730	782
11088	Business and Professional Services > Home Improvement Service > Home Inspection	561730	782
11089	Business and Professional Services > Home Improvement Service > Home Service	236118	1521
11090	Business and Professional Services > Home Improvement Service > Interior Designer	561730	782
11091	Business and Professional Services > Home Improvement Service > Kitchen Remodeler	561730	782
11092	Business and Professional Services > Home Improvement Service > Landscaper and Gardener	561730	782
11093	Business and Professional Services > Home Improvement Service > Mover	561730	782
11094	Business and Professional Services > Home Improvement Service > Painter	561730	782
11095	Business and Professional Services > Home Improvement Service > Pest Control Service	561730	782
11096	Business and Professional Services > Home Improvement Service > Plumber	561730	782
11097	Business and Professional Services > Home Improvement Service > Professional Cleaning Service	561730	782
11098	Business and Professional Services > Home Improvement Service > Roofer	561730	782
11099	Business and Professional Services > Home Improvement Service > Sewer Contractor	561730	782
11100	Business and Professional Services > Home Improvement Service > Swimming Pool Maintenance and Service	561730	782
11101	Business and Professional Services > Home Improvement Service > Tree Service	561730	782
11102	Business and Professional Services > Home Improvement Service > Upholstery Service	561730	782
11103	Business and Professional Services > Human Resources Agency	54	
11104	Business and Professional Services > Import and Export Service	44	
11105	Business and Professional Services > Industrial Equipment Supplier	423830	5084
11106	Business and Professional Services > Industrial Estate	523991	6091
11107	Business and Professional Services > Insurance Agency	524210	6411
11108	Business and Professional Services > IT Service	519190	7389
11109	Business and Professional Services > Laboratory	541380	8734
11110	Business and Professional Services > Leather Supplier	316110	3111
11111	Business and Professional Services > Legal Service	541611	8742
11112	Business and Professional Services > Legal Service > Attorney / Law Office	541110	8111
11113	Business and Professional Services > Legal Service > Immigration Attorney	541110	8111
11114	Business and Professional Services > Legal Service > Notary	541199	7389
11115	Business and Professional Services > Locksmith	561622	7699
11116	Business and Professional Services > Logging Service	113310	2411
11117	Business and Professional Services > Lottery Retailer	713290	7993
11118	Business and Professional Services > Machine Shop	332710	3599
11119	Business and Professional Services > Management Consultant	54	
11120	Business and Professional Services > Manufacturer	44	
11121	Business and Professional Services > Media Agency	541810	7311
11122	Business and Professional Services > Metals Supplier	423510	5051
11123	Business and Professional Services > Mobile Company	54	
11124	Business and Professional Services > Office	54	
11125	Business and Professional Services > Office > Corporate Cafeteria	54	
11126	Business and Professional Services > Office > Corporate Coffee Shop	722515	5461
11127	Business and Professional Services > Office > Corporate Housing Agency	54	
11128	Business and Professional Services > Office > Coworking Space	54	
11129	Business and Professional Services > Office > Meeting Room	81	
11130	Business and Professional Services > Office > Office Building	53	
11131	Business and Professional Services > Outdoor Event Space	71	
11132	Business and Professional Services > Paper Supplier	44	
11133	Business and Professional Services > Pet Service	812910	752
11134	Business and Professional Services > Pet Service > Pet Grooming Service	812910	752
11135	Business and Professional Services > Pet Service > Pet Sitting and Boarding Service	812910	752
11136	Business and Professional Services > Petroleum Supplier	424720	5172
11137	Business and Professional Services > Photography Service	541922	7335
11138	Business and Professional Services > Photography Service > Photographer	44	
11139	Business and Professional Services > Photography Service > Photography Lab	541921	7221
11140	Business and Professional Services > Photography Service > Photography Studio	541921	7221
11141	Business and Professional Services > Plastics Supplier	44	
11142	Business and Professional Services > Power Plant	237990	1622
11143	Business and Professional Services > Publisher	54	
11144	Business and Professional Services > Radio Station	515112	4832
11145	Business and Professional Services > Real Estate Service	531210	6531
11146	Business and Professional Services > Real Estate Service > Building and Land Surveyor	531210	6531
11147	Business and Professional Services > Real Estate Service > Commercial Real Estate Developer	531210	6531
11148	Business and Professional Services > Real Estate Service > Property Management Office	531210	6531
11149	Business and Professional Services > Real Estate Service > Real Estate Agency	531210	6531
11150	Business and Professional Services > Real Estate Service > Real Estate Appraiser	531210	6531
11151	Business and Professional Services > Real Estate Service > Real Estate Development and Title Company	531210	6531
11152	Business and Professional Services > Recording Studio	512240	7389
11153	Business and Professional Services > Recycling Facility	562920	4953
11154	Business and Professional Services > Refrigeration and Ice Supplier	423740	5078
11155	Business and Professional Services > Renewable Energy Service	44	
11156	Business and Professional Services > Rental Service	532310	7359
11157	Business and Professional Services > Repair Service	811490	3732
11158	Business and Professional Services > Research Station	541720	8732
11159	Business and Professional Services > Rubber Supplier	3262	
11160	Business and Professional Services > Salvage Yard	44	
11161	Business and Professional Services > Scientific Equipment Supplier	423490	5049
11162	Business and Professional Services > Security and Safety	44	
11163	Business and Professional Services > Shipping, Freight, and Material Transportation Service	48-49	
11164	Business and Professional Services > Shoe Repair Service	811430	7251
11165	Business and Professional Services > Storage Facility	493110	4225
11166	Business and Professional Services > Tailor	811490	3732
11167	Business and Professional Services > Technology Business	54	
11168	Business and Professional Services > Technology Business > Software Company	54	
11169	Business and Professional Services > Technology Business > Website Designer	54	
11170	Business and Professional Services > Telecommunication Service	44	
