ID	LABEL	PARENT_ID	BREADCRUMB_ARRAY
433	Bed and Breakfasts	432	["Travel","Lodging","Bed and Breakfasts"]
434	Cottages and Cabins	432	["Travel","Lodging","Cottages and Cabins"]
435	Hostels	432	["Travel","Lodging","Hostels"]
436	Hotels and Motels	432	["Travel","Lodging","Hotels and Motels"]
437	Lodges and Vacation Rentals	432	["Travel","Lodging","Lodges and Vacation Rentals"]
438	Resorts	432	["Travel","Lodging","Resorts"]
439	Tourist Information and Services	430	["Travel","Tourist Information and Services"]
440	Travel Agents and Tour Operators	430	["Travel","Travel Agents and Tour Operators"]
441	Geriatrics	83	["Healthcare","Physicians","Geriatrics"]
442	Discount Stores	123	["Retail","Discount Stores"]
443	Meat and Seafood	149	["Retail","Food and Beverage","Meat and Seafood"]
444	Office Supplies	123	["Retail","Office Supplies"]
445	Party Supplies	123	["Retail","Party Supplies"]
446	Career Counseling	177	["Services and Supplies","Career Counseling"]
447	Construction	177	["Services and Supplies","Construction"]
448	Notary	269	["Services and Supplies","Legal","Notary"]
449	Photography	177	["Services and Supplies","Photography"]
450	Translation Services	177	["Services and Supplies","Translation Services"]
451	Golf Courses	382	["Sports and Recreation","Golf","Golf Courses"]
452	Surfing	408	["Sports and Recreation","Water Sports","Surfing"]
453	Embassies	37	["Community and Government","Government Departments and Agencies","Embassies"]
454	Infrastructure	460	["Services and Supplies","Technology","Infrastructure"]
455	Mobile	460	["Services and Supplies","Technology","Mobile"]
456	Advertising	460	["Services and Supplies","Technology","Advertising"]
457	Asian	347	["Social","Food and Dining","Restaurants","Asian"]
458	Food Trucks	347	["Social","Food and Dining","Restaurants","Food Trucks"]
459	Rest Areas	415	["Transportation","Rest Areas"]
460	Technology	177	["Services and Supplies","Technology"]
